"Year", "SmOR", "SmCA", "SmOC", "SmCR", "SmD", "SmCRNorm", "SmOPI", "JackOC", "JackCR", "JackOPI", "AdltPUB", "AdltSRS", "AdltMSM", "AdltAll", "AdltAllno83", "lagJackCR", "lagJackOC", "lagJackOPI", "lagSmD", "lagSmCR", "lagSmAdj"
1969, 3.4, 1.4, 4.8, 27.6, 0, NA, NA, 13.6, 148.6, 162.2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
1970, 3.4, 1.4, 4.8, 24, 0, NA, NA, 6.6, 172.8, 179.4, 2500.9, 2765.1, NA, 2765.1, 2765.1, 148.6, 13.6, 162.2, 0, 27.6, 0
1971, 4.1, 1, 5.1, 28.2, 0, NA, NA, 2.9, 100.8, 103.7, 2694.6, 3365, NA, 3365, 3365, 172.8, 6.6, 179.4, 0, 24, 0
1972, 3.8, 1.6, 5.4, 29.9, 1.8, NA, NA, 5.7, 85.7, 91.4, 1610.5, 1924.8, NA, 1924.8, 1924.8, 100.8, 2.9, 103.7, 0, 28.2, 0
1973, 3.9, 1.2, 5.1, 28.5, 2.9, NA, NA, 12.1, 132, 144.2, 1437.4, 1817, NA, 1817, 1817, 85.7, 5.7, 91.4, 1.8, 29.9, 5.15919732441472
1974, 4.1, 0.6, 4.7, 27.9, 1.8, NA, NA, 1.1, 75.1, 76.2, 2684.7, 3071.1, NA, 3071.1, 3071.1, 132, 12.1, 144.1, 2.9, 28.5, 13.4315789473684
1975, 3.4, 1.6, 5, 29, 2, NA, NA, 25.3, 146.2, 171.5, 1315.9, 1652.8, NA, 1652.8, 1652.8, 75.1, 1.1, 76.2, 1.8, 27.9, 4.84516129032258
1976, 4, 0.6, 4.6, 28.9, 0.2, NA, NA, 7.5, 46.3, 53.8, 3081.2, 3885.3, NA, 3885.3, 3885.3, 146.2, 25.3, 171.5, 2, 29, 10.0827586206897
1977, 3.2, 0.9, 4.1, 31.4, 0, NA, NA, 4, 99.2, 103.2, 780.2, 987.5, NA, 987.5, 987.5, 46.3, 7.5, 53.8, 0.2, 28.9, 0.320415224913495
1978, 4, 0.5, 4.5, 32.6, 5, NA, NA, 8.4, 64.1, 72.5, 1568.2, 1824.1, NA, 1824.1, 1824.1, 99.2, 4, 103.2, 0, 31.4, 0
1979, 4.5, 0.8, 5.3, 28.9, 6.7, NA, NA, 6, 51.6, 57.7, 1153.8, 1476.7, NA, 1476.7, 1476.7, 64.1, 8.4, 72.5, 5, 32.6, 9.83128834355828
1980, 3.4, 0.8, 4.2, 28.1, 5.6, NA, NA, 8.1, 40.6, 48.7, 1046.9, 1224, NA, 1224, 1224, 51.6, 6, 57.6, 6.7, 28.9, 11.9626297577855
1981, 3.9, 0.9, 4.8, 32.5, 6.8, NA, NA, 6.3, 55, 61.3, 906.6, 1064.5, NA, 1064.5, 1064.5, 40.6, 8.1, 48.7, 5.6, 28.1, 8.09110320284697
1982, 4.3, 0.6, 4.9, 27.8, 5, NA, NA, 7.2, 61, 68.3, 1170.8, 1266.8, NA, 1266.8, 1266.8, 55, 6.3, 61.3, 6.8, 32.5, 11.5076923076923
1983, 3, 0.9, 3.9, 27, 5.1, NA, NA, 3.6, 28, 31.6, 486.7, 599.2, NA, 599.2, NA, 61, 7.2, 68.2, 5, 27.8, 10.9712230215827
1984, 4.5, 0.7, 5.2, 29.3, 9.1, NA, NA, 7.8, 18.2, 26, 643.7, 691.3, NA, 691.3, 691.3, 28, 3.6, 31.6, 5.1, 27, 5.28888888888889
1985, 3.8, 0.2, 4, 28.8, 12.2, NA, NA, 12.9, 64.6, 77.5, 647.6, 717.5, NA, 717.5, 717.5, 18.2, 7.8, 26, 9.1, 29.3, 5.65255972696246
1986, 4.8, 1.8, 6.6, 32.9, 9, NA, NA, 8.7, 24.2, 32.9, 2375.5, 2435.8, 2412, 2412, 2412, 64.6, 12.9, 77.5, 12.2, 28.8, 27.3652777777778
1987, 4.9, 1.3, 6.2, 28.8, 7.7, NA, NA, 12.9, 72.3, 85.2, 807.2, 887.2, 779.4, 779.4, 779.4, 24.2, 8.7, 32.9, 9, 32.9, 6.62006079027356
1988, 5.3, 1.2, 6.5, 29.5, 7.2, NA, NA, 5.8, 55, 60.8, 1558.8, 1669.3, 1467.8, 1467.8, 1467.8, 72.3, 12.9, 85.2, 7.7, 28.8, 19.3302083333333
1989, 5.2, 1.3, 6.5, 29.6, 8.5, NA, NA, 9.6, 37.1, 46.6, 1629.7, 1720.2, 1922, 1922, 1922, 55, 5.8, 60.8, 7.2, 29.5, 13.4237288135593
1990, 5.7, 1.2, 6.9, 30.3, 7.1, NA, NA, 7.9, 60.7, 68.6, 631.5, 718.4, 713.6, 713.6, 713.6, 37.1, 9.6, 46.7, 8.5, 29.6, 10.6537162162162
