YEAR,ADULTS,SPAWNERS,PDO.MJJ,SPR,Spawners,MEI.OND,UWI.JAS,SST.AMJ,SSH.AMJ,UWI.SON,SST.J
1970,5.210032452,204.7,-0.39575,117,5.321545493,0.36,34.699,11.974,-40.067,-34.01,10.236
1971,6.031406154,198.9,-0.46825,78,5.292802186,-1.31,41.414,10.884,-154.533,-31.811,8.621
1972,5.223054882,129.2,-0.5125,106,4.861361591,-1.59,28.958,11.685,-73.233,-16.047,8.384
1973,5.459585514,51.2,-0.8765,107,3.935739532,1.45,33.791,11.854,-66.033,-8.15,9.438
1974,5.280153396,65.6,-1.13325,80,4.183575696,-1.805,41.151,12.245,-158.733,-19.501,9.273
1975,5.33945931,24.1,-1.09075,102,3.18221184,-1.37,33.195,10.935,-78.967,-8.792,9.469
1976,6.113018243,37.8,-0.975,83,3.632309103,-2.1,38.461,10.826,-155.467,-38.994,9.038
1977,5.08264583,28.1,-0.6825,103,3.335769576,0.495,22.623,10.688,-116.967,-7.941,9.77
1978,4.71492105,34.8,-0.4065,74,3.549617387,0.75,30.152,11.203,-140.633,-34.772,11.288
1979,5.240688254,39.2,-0.3065,97,3.668676747,-0.145,16.884,11.579,-91.167,-5.59,8.699
1980,4.684905154,13.7,0.14275,73,2.617395833,0.38,24.025,11.22,-95.533,-58.734,10.515
1981,5.161924742,18.2,0.35025,78,2.901421594,-0.025,48.084,12.06,-67.667,-42.722,11.787
1982,5.224132468,38.4,0.67675,88,3.64805746,-0.215,28.803,12.155,-84.533,-54.105,9.862
1983,4.564348191,25.6,0.6,109,3.242592351,1.96,28.851,10.981,-71.167,-42.966,11.141
1984,4.550714,30.1,1.01,126,3.404525172,-0.5,26.438,12.136,-6.833,-46.615,10.673
1985,4.827513417,68.3,1.0075,112,4.223909767,-0.385,38.115,11.427,-64.5,-52.444,9.996
1986,4.738581571,19.4,0.7175,48,2.965273066,-0.07,36.911,10.953,-81.033,-12.172,10.042
1987,4.354629744,59.7,1.05,89,4.08933202,0.6,38.461,11.509,-82,-19.717,10.598
1988,5.027164596,66.3,0.89325,81,4.194189897,1.04,36.069,11.426,-79.567,-34.078,9.892
1989,4.743792349,57.2,0.97725,68,4.046553898,-1.645,42.693,11.487,-61.4,-20.229,9.41
1990,4.123174944,25.3,0.97475,97,3.230804396,-0.425,35.529,11.618,-63.267,-4.817,9.969
1991,4.432422652,45.7,0.708,81,3.822098298,0.025,42.943,12.01,-61.333,-12.078,8.924
1992,4.677862871,40.7,-0.0395,99,3.706228092,1.005,39.484,10.924,-107.133,-2.079,10.117
1993,4.317154725,16.789,0.158,123,2.82072391,0.645,36.754,12.723,-26.367,-24.992,9.364
1994,3.712449486,33.76,0.5765,161,3.51927667,0.83,40.857,13.244,63.9,0.138,11.037
1995,3.867883012,44.669,0.584,87,3.799279749,1.265,39.043,11.448,-58.967,-13.294,10.575
1996,4.1680596,49.156,1.299,95,3.894998914,-0.755,27.53,11.193,-58.733,-25.285,11.661
1997,2.800264685,41.706,1.2365,120,3.730645003,-0.355,56.803,11.439,-40.833,-4.701,10.759
1998,3.110711382,50.143,1.2405,146,3.914878923,2.1,10.175,12.101,-7.4,-55.941,12.263
1999,3.64495369,69.235,1.1955,105,4.237506515,-1.315,49.683,11.376,-33.433,-43.258,9.543
2000,4.071945567,15.247,0.4565,91,2.724382762,-1.33,51,10.67,-102.4,-34.176,10
2001,5.05349042,21.54,-0.011,72,3.069911672,-0.69,35.778,11.355,-45.667,-26.833,10.16
2002,5.505920793,34.696,-0.7425,61,3.546624407,-0.25,47.077,10.679,-114.933,-38.189,10.073
2003,5.426345519,61.035,-0.8675,80,4.11144747,0.84,50.485,10.105,-136.633,-25.902,10.955
